

==========Samples: (1000, 500, 500) ===========
Pre-training layer 0, epoch 95, validation free energy -167.522483002
Pre-training layer 0, epoch 96, cost -95.8856497955
Pre-training layer 0, epoch 97, cost -95.727539444
Pre-training layer 0, epoch 98, cost -95.5912509918
Pre-training layer 0, epoch 99, cost -95.6811837006
Pre-training layer 1, epoch 0, cost -63.0561911774
Pre-training layer 1, epoch 0, representative training free energy -1917.98034106
Pre-training layer 1, epoch 0, validation free energy -1889.46606482
Pre-training layer 1, epoch 1, cost -53.9384323502
Pre-training layer 1, epoch 2, cost -50.2802957153
Pre-training layer 1, epoch 3, cost -47.1428460312
Pre-training layer 1, epoch 4, cost -45.0729532623
Pre-training layer 1, epoch 5, cost -43.1304641724
Pre-training layer 1, epoch 5, representative training free energy -2677.41236871
Pre-training layer 1, epoch 5, validation free energy -2626.30033429
Pre-training layer 1, epoch 6, cost -41.6512764359
Pre-training layer 1, epoch 7, cost -40.4355719376
Pre-training layer 1, epoch 8, cost -39.6555059433
Pre-training layer 1, epoch 9, cost -38.6481728554
Pre-training layer 1, epoch 10, cost -37.6548898125
Pre-training layer 1, epoch 10, representative training free energy -3018.00167896
Pre-training layer 1, epoch 10, validation free energy -2958.04926306
Pre-training layer 1, epoch 11, cost -37.0863831329
Pre-training layer 1, epoch 12, cost -36.6165730476
Pre-training layer 1, epoch 13, cost -36.1611745071
Pre-training layer 1, epoch 14, cost -35.7362138557
Pre-training layer 1, epoch 15, cost -35.3249788666
Pre-training layer 1, epoch 15, representative training free energy -3250.44301221
Pre-training layer 1, epoch 15, validation free energy -3186.96387402
Pre-training layer 1, epoch 16, cost -34.8897591591
Pre-training layer 1, epoch 17, cost -34.5207173347
Pre-training layer 1, epoch 18, cost -34.1894826698
Pre-training layer 1, epoch 19, cost -33.9854997063
Pre-training layer 1, epoch 20, cost -33.6292868996
Pre-training layer 1, epoch 20, representative training free energy -3403.97776587
Pre-training layer 1, epoch 20, validation free energy -3337.43922278
Pre-training layer 1, epoch 21, cost -33.4062109566
Pre-training layer 1, epoch 22, cost -32.9464343452
Pre-training layer 1, epoch 23, cost -32.831783638
Pre-training layer 1, epoch 24, cost -32.480736084
Pre-training layer 1, epoch 25, cost -32.4041856194
Pre-training layer 1, epoch 25, representative training free energy -3546.693474
Pre-training layer 1, epoch 25, validation free energy -3477.21683228
Pre-training layer 1, epoch 26, cost -32.0816339684
Pre-training layer 1, epoch 27, cost -31.8425281334
Pre-training layer 1, epoch 28, cost -31.6243904495
Pre-training layer 1, epoch 29, cost -31.6360268211
Pre-training layer 1, epoch 30, cost -31.516529789
Pre-training layer 1, epoch 30, representative training free energy -3650.45751697
Pre-training layer 1, epoch 30, validation free energy -3576.14417432
Pre-training layer 1, epoch 31, cost -31.2825144005
Pre-training layer 1, epoch 32, cost -31.1059359741
Pre-training layer 1, epoch 33, cost -30.8499174118
Pre-training layer 1, epoch 34, cost -30.8368200111
Pre-training layer 1, epoch 35, cost -30.58596735
Pre-training layer 1, epoch 35, representative training free energy -3748.03887341
Pre-training layer 1, epoch 35, validation free energy -3674.08365173
Pre-training layer 1, epoch 36, cost -30.4641902924
Pre-training layer 1, epoch 37, cost -30.4304902458
Pre-training layer 1, epoch 38, cost -30.2364561653
Pre-training layer 1, epoch 39, cost -30.0187328148
Pre-training layer 1, epoch 40, cost -29.920100956
Pre-training layer 1, epoch 40, representative training free energy -3823.3981311
Pre-training layer 1, epoch 40, validation free energy -3749.18004138
Pre-training layer 1, epoch 41, cost -29.8345190239
Pre-training layer 1, epoch 42, cost -29.7303075981
Pre-training layer 1, epoch 43, cost -29.6428518295
Pre-training layer 1, epoch 44, cost -29.3924459648
Pre-training layer 1, epoch 45, cost -29.3235282135
Pre-training layer 1, epoch 45, representative training free energy -3897.55584558
Pre-training layer 1, epoch 45, validation free energy -3820.96559937
Pre-training layer 1, epoch 46, cost -29.2663438416
Pre-training layer 1, epoch 47, cost -29.1759816933
Pre-training layer 1, epoch 48, cost -29.0303421783
Pre-training layer 1, epoch 49, cost -28.9289857101
Pre-training layer 1, epoch 50, cost -28.9303910637
Pre-training layer 1, epoch 50, representative training free energy -3974.34976831
Pre-training layer 1, epoch 50, validation free energy -3897.53887488
Pre-training layer 1, epoch 51, cost -28.9025294113
Pre-training layer 1, epoch 52, cost -28.6820882034
Pre-training layer 1, epoch 53, cost -28.5908696556
Pre-training layer 1, epoch 54, cost -28.5118867874
Pre-training layer 1, epoch 55, cost -28.4719530678
Pre-training layer 1, epoch 55, representative training free energy -4031.655573
Pre-training layer 1, epoch 55, validation free energy -3955.27803406
Pre-training layer 1, epoch 56, cost -28.3885739899
Pre-training layer 1, epoch 57, cost -28.340639286
Pre-training layer 1, epoch 58, cost -28.3089118385
Pre-training layer 1, epoch 59, cost -28.1220006561
Pre-training layer 1, epoch 60, cost -28.0479156113
Pre-training layer 1, epoch 60, representative training free energy -4097.67847913
Pre-training layer 1, epoch 60, validation free energy -4021.46469409
Pre-training layer 1, epoch 61, cost -28.0272964478
Pre-training layer 1, epoch 62, cost -27.97135746
Pre-training layer 1, epoch 63, cost -27.965045166
Pre-training layer 1, epoch 64, cost -27.819907608
Pre-training layer 1, epoch 65, cost -27.7819016647
Pre-training layer 1, epoch 65, representative training free energy -4149.4120863
Pre-training layer 1, epoch 65, validation free energy -4070.10319922
Pre-training layer 1, epoch 66, cost -27.7128203392
Pre-training layer 1, epoch 67, cost -27.5182140732
Pre-training layer 1, epoch 68, cost -27.6177629852
Pre-training layer 1, epoch 69, cost -27.4745702362
Pre-training layer 1, epoch 70, cost -27.4843024826
Pre-training layer 1, epoch 70, representative training free energy -4194.33508838
Pre-training layer 1, epoch 70, validation free energy -4117.64512817
Pre-training layer 1, epoch 71, cost -27.3560076332
Pre-training layer 1, epoch 72, cost -27.3292791176
Pre-training layer 1, epoch 73, cost -27.2185255051
Pre-training layer 1, epoch 74, cost -27.2732979202
Pre-training layer 1, epoch 75, cost -27.1445025444
Pre-training layer 1, epoch 75, representative training free energy -4229.83555847
Pre-training layer 1, epoch 75, validation free energy -4151.05196423
Pre-training layer 1, epoch 76, cost -27.0037363625
Pre-training layer 1, epoch 77, cost -27.1341510201
Pre-training layer 1, epoch 78, cost -27.0601964569
Pre-training layer 1, epoch 79, cost -27.0858484459
Pre-training layer 1, epoch 80, cost -26.9020446205
Pre-training layer 1, epoch 80, representative training free energy -4275.66262122
Pre-training layer 1, epoch 80, validation free energy -4198.03072229
Pre-training layer 1, epoch 81, cost -26.9301332474
Pre-training layer 1, epoch 82, cost -26.899204464
Pre-training layer 1, epoch 83, cost -26.723075943
Pre-training layer 1, epoch 84, cost -26.9510804939
Pre-training layer 1, epoch 85, cost -26.7073981857
Pre-training layer 1, epoch 85, representative training free energy -4314.93822913
Pre-training layer 1, epoch 85, validation free energy -4236.19079126
Pre-training layer 1, epoch 86, cost -26.7681082535
Pre-training layer 1, epoch 87, cost -26.6376758957
Pre-training layer 1, epoch 88, cost -26.6623402405
Pre-training layer 1, epoch 89, cost -26.7433398438
Pre-training layer 1, epoch 90, cost -26.4953147316
Pre-training layer 1, epoch 90, representative training free energy -4357.08499792
Pre-training layer 1, epoch 90, validation free energy -4276.93737256
Pre-training layer 1, epoch 91, cost -26.4565484428
Pre-training layer 1, epoch 92, cost -26.4618118858
Pre-training layer 1, epoch 93, cost -26.3258490372
Pre-training layer 1, epoch 94, cost -26.3336781502
Pre-training layer 1, epoch 95, cost -26.3970571327
Pre-training layer 1, epoch 95, representative training free energy -4388.50446497
Pre-training layer 1, epoch 95, validation free energy -4308.40199854
Pre-training layer 1, epoch 96, cost -26.1993993378
Pre-training layer 1, epoch 97, cost -26.3252791786
Pre-training layer 1, epoch 98, cost -26.3116491127
Pre-training layer 1, epoch 99, cost -26.1578769112
Pre-training layer 2, epoch 0, cost -53.0197698975
Pre-training layer 2, epoch 0, representative training free energy -8108.07503955
Pre-training layer 2, epoch 0, validation free energy -7692.04956104
Pre-training layer 2, epoch 1, cost -41.742013855
Pre-training layer 2, epoch 2, cost -39.1828292084
Pre-training layer 2, epoch 3, cost -37.3466871262
Pre-training layer 2, epoch 4, cost -35.5841524696
Pre-training layer 2, epoch 5, cost -34.1823164558
Pre-training layer 2, epoch 5, representative training free energy -9965.08505811
Pre-training layer 2, epoch 5, validation free energy -9396.00629688
Pre-training layer 2, epoch 6, cost -32.9676653671
Pre-training layer 2, epoch 7, cost -32.1100269318
Pre-training layer 2, epoch 8, cost -31.5641046333
Pre-training layer 2, epoch 9, cost -30.8845337105
Pre-training layer 2, epoch 10, cost -30.2993894005
Pre-training layer 2, epoch 10, representative training free energy -11181.8505786
Pre-training layer 2, epoch 10, validation free energy -10481.5068604
Pre-training layer 2, epoch 11, cost -29.8425896645
Pre-training layer 2, epoch 12, cost -29.3064962006
Pre-training layer 2, epoch 13, cost -28.7891628838
Pre-training layer 2, epoch 14, cost -28.7004254723
Pre-training layer 2, epoch 15, cost -28.2163344002
Pre-training layer 2, epoch 15, representative training free energy -11888.4165098
Pre-training layer 2, epoch 15, validation free energy -11118.4531152
Pre-training layer 2, epoch 16, cost -27.9342166138
Pre-training layer 2, epoch 17, cost -27.7393012619
Pre-training layer 2, epoch 18, cost -27.4476381683
Pre-training layer 2, epoch 19, cost -27.2806245232
Pre-training layer 2, epoch 20, cost -27.0131867599
Pre-training layer 2, epoch 20, representative training free energy -12302.8305156
Pre-training layer 2, epoch 20, validation free energy -11497.1776211
Pre-training layer 2, epoch 21, cost -26.8314133644
Pre-training layer 2, epoch 22, cost -26.6538748741
Pre-training layer 2, epoch 23, cost -26.5729750824
Pre-training layer 2, epoch 24, cost -26.2101009941
Pre-training layer 2, epoch 25, cost -26.3254927826
Pre-training layer 2, epoch 25, representative training free energy -12681.0055771
Pre-training layer 2, epoch 25, validation free energy -11831.8225762
Pre-training layer 2, epoch 26, cost -26.0353586769
Pre-training layer 2, epoch 27, cost -25.9348826408
Pre-training layer 2, epoch 28, cost -25.7292734909
Pre-training layer 2, epoch 29, cost -25.6771403122
Pre-training layer 2, epoch 30, cost -25.5314827728
Pre-training layer 2, epoch 30, representative training free energy -12917.8869141
Pre-training layer 2, epoch 30, validation free energy -12051.6013467
Pre-training layer 2, epoch 31, cost -25.5281363487
Pre-training layer 2, epoch 32, cost -25.3332113075
Pre-training layer 2, epoch 33, cost -25.2499928665
Pre-training layer 2, epoch 34, cost -25.1422410583
Pre-training layer 2, epoch 35, cost -25.0165012932
Pre-training layer 2, epoch 35, representative training free energy -13079.5884043
Pre-training layer 2, epoch 35, validation free energy -12176.5520137
Pre-training layer 2, epoch 36, cost -24.9444774055
Pre-training layer 2, epoch 37, cost -24.8861995125
Pre-training layer 2, epoch 38, cost -24.8674204445
Pre-training layer 2, epoch 39, cost -24.7946977425
Pre-training layer 2, epoch 40, cost -24.6416884422
Pre-training layer 2, epoch 40, representative training free energy -13297.4676924
Pre-training layer 2, epoch 40, validation free energy -12381.2204023
Pre-training layer 2, epoch 41, cost -24.6104461098
Pre-training layer 2, epoch 42, cost -24.6236763191
Pre-training layer 2, epoch 43, cost -24.507780571
Pre-training layer 2, epoch 44, cost -24.4506041527
Pre-training layer 2, epoch 45, cost -24.5180030441
Pre-training layer 2, epoch 45, representative training free energy -13458.2985244
Pre-training layer 2, epoch 45, validation free energy -12524.8381426
Pre-training layer 2, epoch 46, cost -24.4266925621
Pre-training layer 2, epoch 47, cost -24.2906224632
Pre-training layer 2, epoch 48, cost -24.306711483
Pre-training layer 2, epoch 49, cost -24.2282199287
Pre-training layer 2, epoch 50, cost -24.0459267807
Pre-training layer 2, epoch 50, representative training free energy -13568.8399424
Pre-training layer 2, epoch 50, validation free energy -12613.7100889
Pre-training layer 2, epoch 51, cost -24.0117029572
Pre-training layer 2, epoch 52, cost -23.9880834198
Pre-training layer 2, epoch 53, cost -24.0427688599
Pre-training layer 2, epoch 54, cost -24.0004645157
Pre-training layer 2, epoch 55, cost -24.0079786301
Pre-training layer 2, epoch 55, representative training free energy -13732.7900967
Pre-training layer 2, epoch 55, validation free energy -12762.104252
Pre-training layer 2, epoch 56, cost -23.859175148
Pre-training layer 2, epoch 57, cost -23.8517361259
Pre-training layer 2, epoch 58, cost -23.867495079
Pre-training layer 2, epoch 59, cost -23.7152818108
Pre-training layer 2, epoch 60, cost -23.7071105766
Pre-training layer 2, epoch 60, representative training free energy -13829.6405
Pre-training layer 2, epoch 60, validation free energy -12848.446207
Pre-training layer 2, epoch 61, cost -23.6005854797
Pre-training layer 2, epoch 62, cost -23.6548405647
Pre-training layer 2, epoch 63, cost -23.502790966
Pre-training layer 2, epoch 64, cost -23.4869849968
Pre-training layer 2, epoch 65, cost -23.514503994
Pre-training layer 2, epoch 65, representative training free energy -13869.3743418
Pre-training layer 2, epoch 65, validation free energy -12871.52604
Pre-training layer 2, epoch 66, cost -23.4516677284
Pre-training layer 2, epoch 67, cost -23.559522419
Pre-training layer 2, epoch 68, cost -23.5366798401
Pre-training layer 2, epoch 69, cost -23.3815745354
Pre-training layer 2, epoch 70, cost -23.4323298454
Pre-training layer 2, epoch 70, representative training free energy -14027.1945615
Pre-training layer 2, epoch 70, validation free energy -13008.8251055
Pre-training layer 2, epoch 71, cost -23.4415885925
Pre-training layer 2, epoch 72, cost -23.236547184
Pre-training layer 2, epoch 73, cost -23.2391680527
Pre-training layer 2, epoch 74, cost -23.2510727501
Pre-training layer 2, epoch 75, cost -23.2649028015
Pre-training layer 2, epoch 75, representative training free energy -14083.7918545
Pre-training layer 2, epoch 75, validation free energy -13072.3081826
Pre-training layer 2, epoch 76, cost -23.1160549736
Pre-training layer 2, epoch 77, cost -23.0678281784
Pre-training layer 2, epoch 78, cost -23.1116835022
Pre-training layer 2, epoch 79, cost -23.2418603706
Pre-training layer 2, epoch 80, cost -23.1251276207
Pre-training layer 2, epoch 80, representative training free energy -14109.3880166
Pre-training layer 2, epoch 80, validation free energy -13095.0622881
Pre-training layer 2, epoch 81, cost -23.1990821648
Pre-training layer 2, epoch 82, cost -23.0386563873
Pre-training layer 2, epoch 83, cost -23.0673987007
Pre-training layer 2, epoch 84, cost -22.9648353958
Pre-training layer 2, epoch 85, cost -23.0187128067
Pre-training layer 2, epoch 85, representative training free energy -14189.6900205
Pre-training layer 2, epoch 85, validation free energy -13150.3031768
Pre-training layer 2, epoch 86, cost -22.9931382179
Pre-training layer 2, epoch 87, cost -22.9861915207
Pre-training layer 2, epoch 88, cost -22.89703022
Pre-training layer 2, epoch 89, cost -22.9902285957
Pre-training layer 2, epoch 90, cost -22.9731818962
Pre-training layer 2, epoch 90, representative training free energy -14260.6831367
Pre-training layer 2, epoch 90, validation free energy -13220.5917734
Pre-training layer 2, epoch 91, cost -22.9746642685
Pre-training layer 2, epoch 92, cost -22.8405570602
Pre-training layer 2, epoch 93, cost -22.8910897064
Pre-training layer 2, epoch 94, cost -22.8208668137
Pre-training layer 2, epoch 95, cost -22.8805952835
Pre-training layer 2, epoch 95, representative training free energy -14294.6183203
Pre-training layer 2, epoch 95, validation free energy -13247.0952471
Pre-training layer 2, epoch 96, cost -22.8701845932
Pre-training layer 2, epoch 97, cost -22.6592165184
Pre-training layer 2, epoch 98, cost -22.7322779083
Pre-training layer 2, epoch 99, cost -22.8676808548
The pretraining code for file dbn_loop.pyc ran for 0.39m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 100/100, validation error 27.400000 %
     epoch 1, minibatch 100/100, test error of best model 30.200000 %
epoch 2, minibatch 100/100, validation error 22.600000 %
     epoch 2, minibatch 100/100, test error of best model 21.800000 %
epoch 3, minibatch 100/100, validation error 19.200000 %
     epoch 3, minibatch 100/100, test error of best model 19.400000 %
epoch 4, minibatch 100/100, validation error 18.400000 %
     epoch 4, minibatch 100/100, test error of best model 18.000000 %
epoch 5, minibatch 100/100, validation error 18.200000 %
     epoch 5, minibatch 100/100, test error of best model 16.600000 %
epoch 6, minibatch 100/100, validation error 18.000000 %
     epoch 6, minibatch 100/100, test error of best model 15.800000 %
epoch 7, minibatch 100/100, validation error 17.400000 %
     epoch 7, minibatch 100/100, test error of best model 15.400000 %
epoch 8, minibatch 100/100, validation error 17.000000 %
     epoch 8, minibatch 100/100, test error of best model 15.400000 %
epoch 9, minibatch 100/100, validation error 17.000000 %
epoch 10, minibatch 100/100, validation error 16.400000 %
     epoch 10, minibatch 100/100, test error of best model 15.000000 %
epoch 11, minibatch 100/100, validation error 16.600000 %
epoch 12, minibatch 100/100, validation error 16.200000 %
     epoch 12, minibatch 100/100, test error of best model 13.800000 %
epoch 13, minibatch 100/100, validation error 16.000000 %
     epoch 13, minibatch 100/100, test error of best model 13.800000 %
epoch 14, minibatch 100/100, validation error 16.000000 %
epoch 15, minibatch 100/100, validation error 15.800000 %
     epoch 15, minibatch 100/100, test error of best model 13.600000 %
epoch 16, minibatch 100/100, validation error 15.600000 %
     epoch 16, minibatch 100/100, test error of best model 13.800000 %
epoch 17, minibatch 100/100, validation error 15.800000 %
epoch 18, minibatch 100/100, validation error 15.600000 %
epoch 19, minibatch 100/100, validation error 15.400000 %
     epoch 19, minibatch 100/100, test error of best model 13.200000 %
epoch 20, minibatch 100/100, validation error 15.200000 %
     epoch 20, minibatch 100/100, test error of best model 13.400000 %
epoch 21, minibatch 100/100, validation error 15.200000 %
epoch 22, minibatch 100/100, validation error 14.800000 %
     epoch 22, minibatch 100/100, test error of best model 13.200000 %
epoch 23, minibatch 100/100, validation error 14.800000 %
epoch 24, minibatch 100/100, validation error 14.600000 %
     epoch 24, minibatch 100/100, test error of best model 13.400000 %
epoch 25, minibatch 100/100, validation error 14.400000 %
     epoch 25, minibatch 100/100, test error of best model 13.400000 %
epoch 26, minibatch 100/100, validation error 14.400000 %
epoch 27, minibatch 100/100, validation error 14.400000 %
epoch 28, minibatch 100/100, validation error 14.400000 %
epoch 29, minibatch 100/100, validation error 14.400000 %
epoch 30, minibatch 100/100, validation error 14.400000 %
     epoch 30, minibatch 100/100, test error of best model 12.400000 %
epoch 31, minibatch 100/100, validation error 14.400000 %
epoch 32, minibatch 100/100, validation error 14.400000 %
epoch 33, minibatch 100/100, validation error 14.600000 %
epoch 34, minibatch 100/100, validation error 14.600000 %
epoch 35, minibatch 100/100, validation error 14.600000 %
epoch 36, minibatch 100/100, validation error 14.600000 %
epoch 37, minibatch 100/100, validation error 14.400000 %
epoch 38, minibatch 100/100, validation error 14.400000 %
epoch 39, minibatch 100/100, validation error 14.400000 %
epoch 40, minibatch 100/100, validation error 14.400000 %
epoch 41, minibatch 100/100, validation error 14.400000 %
epoch 42, minibatch 100/100, validation error 14.400000 %
epoch 43, minibatch 100/100, validation error 14.400000 %
epoch 44, minibatch 100/100, validation error 14.400000 %
epoch 45, minibatch 100/100, validation error 14.200000 %
     epoch 45, minibatch 100/100, test error of best model 12.200000 %
epoch 46, minibatch 100/100, validation error 14.000000 %
     epoch 46, minibatch 100/100, test error of best model 12.000000 %
epoch 47, minibatch 100/100, validation error 14.000000 %
epoch 48, minibatch 100/100, validation error 13.800000 %
     epoch 48, minibatch 100/100, test error of best model 11.400000 %
epoch 49, minibatch 100/100, validation error 13.800000 %
epoch 50, minibatch 100/100, validation error 13.800000 %
epoch 51, minibatch 100/100, validation error 13.800000 %
epoch 52, minibatch 100/100, validation error 13.600000 %
     epoch 52, minibatch 100/100, test error of best model 11.400000 %
epoch 53, minibatch 100/100, validation error 13.600000 %
epoch 54, minibatch 100/100, validation error 13.600000 %
epoch 55, minibatch 100/100, validation error 13.600000 %
epoch 56, minibatch 100/100, validation error 13.600000 %
epoch 57, minibatch 100/100, validation error 13.600000 %
epoch 58, minibatch 100/100, validation error 13.600000 %
epoch 59, minibatch 100/100, validation error 13.600000 %
epoch 60, minibatch 100/100, validation error 13.800000 %
epoch 61, minibatch 100/100, validation error 13.800000 %
epoch 62, minibatch 100/100, validation error 14.000000 %
epoch 63, minibatch 100/100, validation error 13.800000 %
epoch 64, minibatch 100/100, validation error 13.800000 %
epoch 65, minibatch 100/100, validation error 13.800000 %
epoch 66, minibatch 100/100, validation error 13.800000 %
epoch 67, minibatch 100/100, validation error 13.600000 %
     epoch 67, minibatch 100/100, test error of best model 11.400000 %
epoch 68, minibatch 100/100, validation error 13.400000 %
     epoch 68, minibatch 100/100, test error of best model 11.400000 %
epoch 69, minibatch 100/100, validation error 13.400000 %
epoch 70, minibatch 100/100, validation error 13.400000 %
epoch 71, minibatch 100/100, validation error 13.400000 %
epoch 72, minibatch 100/100, validation error 13.400000 %
epoch 73, minibatch 100/100, validation error 13.600000 %
epoch 74, minibatch 100/100, validation error 13.600000 %
epoch 75, minibatch 100/100, validation error 13.600000 %
