_______RUN: 0

==========Sample Size: (1000, 1000, 1000) ===========
Pre-training layer 0, epoch 95, cost -73.6435202026
Pre-training layer 0, epoch 95, representative training free energy -475.158135742
Pre-training layer 0, epoch 95, validation free energy -454.59105835
Pre-training layer 0, epoch 96, cost -73.5178866959
Pre-training layer 0, epoch 97, cost -73.4356640625
Pre-training layer 0, epoch 98, cost -73.3840695572
Pre-training layer 0, epoch 99, cost -73.1944166946
Pre-training layer 1, epoch 0, cost -432.583664856
Pre-training layer 1, epoch 0, representative training free energy -32740.6054033
Pre-training layer 1, epoch 0, validation free energy -32242.2415117
Pre-training layer 1, epoch 1, cost -370.438597412
Pre-training layer 1, epoch 2, cost -350.783014832
Pre-training layer 1, epoch 3, cost -339.014055786
Pre-training layer 1, epoch 4, cost -330.982660828
Pre-training layer 1, epoch 5, cost -324.693811646
Pre-training layer 1, epoch 5, representative training free energy -46939.833666
Pre-training layer 1, epoch 5, validation free energy -46360.3936045
Pre-training layer 1, epoch 6, cost -319.710154419
Pre-training layer 1, epoch 7, cost -315.581661682
Pre-training layer 1, epoch 8, cost -312.080926208
Pre-training layer 1, epoch 9, cost -309.111822815
Pre-training layer 1, epoch 10, cost -306.543333435
Pre-training layer 1, epoch 10, representative training free energy -51296.7576396
Pre-training layer 1, epoch 10, validation free energy -50711.1774238
Pre-training layer 1, epoch 11, cost -304.281347046
Pre-training layer 1, epoch 12, cost -302.349488525
Pre-training layer 1, epoch 13, cost -300.762135315
Pre-training layer 1, epoch 14, cost -298.8421875
Pre-training layer 1, epoch 15, cost -297.273948364
Pre-training layer 1, epoch 15, representative training free energy -53839.6521582
Pre-training layer 1, epoch 15, validation free energy -53244.9905977
Pre-training layer 1, epoch 16, cost -295.8502034
Pre-training layer 1, epoch 17, cost -294.826321716
Pre-training layer 1, epoch 18, cost -293.414830017
Pre-training layer 1, epoch 19, cost -292.366674957
Pre-training layer 1, epoch 20, cost -291.337272491
Pre-training layer 1, epoch 20, representative training free energy -55591.5234629
Pre-training layer 1, epoch 20, validation free energy -54988.2563125
Pre-training layer 1, epoch 21, cost -290.432646484
Pre-training layer 1, epoch 22, cost -289.679132385
Pre-training layer 1, epoch 23, cost -288.848398285
Pre-training layer 1, epoch 24, cost -288.100110016
Pre-training layer 1, epoch 25, cost -287.352861481
Pre-training layer 1, epoch 25, representative training free energy -56957.4992842
Pre-training layer 1, epoch 25, validation free energy -56362.3750625
Pre-training layer 1, epoch 26, cost -286.513388824
Pre-training layer 1, epoch 27, cost -286.048887939
Pre-training layer 1, epoch 28, cost -285.388572235
Pre-training layer 1, epoch 29, cost -284.761614838
Pre-training layer 1, epoch 30, cost -284.231249847
Pre-training layer 1, epoch 30, representative training free energy -58013.3819414
Pre-training layer 1, epoch 30, validation free energy -57404.0598477
Pre-training layer 1, epoch 31, cost -283.763023987
Pre-training layer 1, epoch 32, cost -283.112131653
Pre-training layer 1, epoch 33, cost -282.611553345
Pre-training layer 1, epoch 34, cost -282.170011749
Pre-training layer 1, epoch 35, cost -281.616307983
Pre-training layer 1, epoch 35, representative training free energy -58963.9653516
Pre-training layer 1, epoch 35, validation free energy -58359.1552949
Pre-training layer 1, epoch 36, cost -281.223291473
Pre-training layer 1, epoch 37, cost -280.644262238
Pre-training layer 1, epoch 38, cost -280.502343445
Pre-training layer 1, epoch 39, cost -280.259787598
Pre-training layer 1, epoch 40, cost -279.778415375
Pre-training layer 1, epoch 40, representative training free energy -59727.6221719
Pre-training layer 1, epoch 40, validation free energy -59108.1162559
Pre-training layer 1, epoch 41, cost -279.315426331
Pre-training layer 1, epoch 42, cost -279.037398376
Pre-training layer 1, epoch 43, cost -278.772268982
Pre-training layer 1, epoch 44, cost -278.26785675
Pre-training layer 1, epoch 45, cost -278.062873383
Pre-training layer 1, epoch 45, representative training free energy -60423.5337979
Pre-training layer 1, epoch 45, validation free energy -59805.0532031
Pre-training layer 1, epoch 46, cost -277.560789032
Pre-training layer 1, epoch 47, cost -277.350826111
Pre-training layer 1, epoch 48, cost -277.142989655
Pre-training layer 1, epoch 49, cost -276.713169098
Pre-training layer 1, epoch 50, cost -276.694682617
Pre-training layer 1, epoch 50, representative training free energy -60974.8744287
Pre-training layer 1, epoch 50, validation free energy -60360.2602051
Pre-training layer 1, epoch 51, cost -276.476960297
Pre-training layer 1, epoch 52, cost -275.90395752
Pre-training layer 1, epoch 53, cost -275.766363983
Pre-training layer 1, epoch 54, cost -275.678635254
Pre-training layer 1, epoch 55, cost -275.350467834
Pre-training layer 1, epoch 55, representative training free energy -61582.5354668
Pre-training layer 1, epoch 55, validation free energy -60957.7858906
Pre-training layer 1, epoch 56, cost -275.271995697
Pre-training layer 1, epoch 57, cost -274.905109253
Pre-training layer 1, epoch 58, cost -274.802581482
Pre-training layer 1, epoch 59, cost -274.531135254
Pre-training layer 1, epoch 60, cost -274.388552246
Pre-training layer 1, epoch 60, representative training free energy -62023.4179277
Pre-training layer 1, epoch 60, validation free energy -61404.4103945
Pre-training layer 1, epoch 61, cost -274.431852722
Pre-training layer 1, epoch 62, cost -273.929338837
Pre-training layer 1, epoch 63, cost -273.894546051
Pre-training layer 1, epoch 64, cost -273.730830688
Pre-training layer 1, epoch 65, cost -273.247201233
Pre-training layer 1, epoch 65, representative training free energy -62481.5257676
Pre-training layer 1, epoch 65, validation free energy -61857.3314219
Pre-training layer 1, epoch 66, cost -273.093194122
Pre-training layer 1, epoch 67, cost -273.163191986
Pre-training layer 1, epoch 68, cost -272.998748932
Pre-training layer 1, epoch 69, cost -272.738014679
Pre-training layer 1, epoch 70, cost -272.673174896
Pre-training layer 1, epoch 70, representative training free energy -62933.1743633
Pre-training layer 1, epoch 70, validation free energy -62311.5186152
Pre-training layer 1, epoch 71, cost -272.523901672
Pre-training layer 1, epoch 72, cost -272.429284821
Pre-training layer 1, epoch 73, cost -272.313379517
Pre-training layer 1, epoch 74, cost -272.064663086
Pre-training layer 1, epoch 75, cost -271.985643005
Pre-training layer 1, epoch 75, representative training free energy -63423.4503242
Pre-training layer 1, epoch 75, validation free energy -62789.8602363
Pre-training layer 1, epoch 76, cost -271.65497467
Pre-training layer 1, epoch 77, cost -271.641186371
Pre-training layer 1, epoch 78, cost -271.56292923
Pre-training layer 1, epoch 79, cost -271.427991638
Pre-training layer 1, epoch 80, cost -271.027590485
Pre-training layer 1, epoch 80, representative training free energy -63784.6197617
Pre-training layer 1, epoch 80, validation free energy -63141.4425273
Pre-training layer 1, epoch 81, cost -271.032447815
Pre-training layer 1, epoch 82, cost -270.977351685
Pre-training layer 1, epoch 83, cost -271.028626404
Pre-training layer 1, epoch 84, cost -270.985432281
Pre-training layer 1, epoch 85, cost -270.655106049
Pre-training layer 1, epoch 85, representative training free energy -64161.6114238
Pre-training layer 1, epoch 85, validation free energy -63522.2080352
Pre-training layer 1, epoch 86, cost -270.591491852
Pre-training layer 1, epoch 87, cost -270.290392456
Pre-training layer 1, epoch 88, cost -270.437577667
Pre-training layer 1, epoch 89, cost -270.215452271
Pre-training layer 1, epoch 90, cost -270.13926239
Pre-training layer 1, epoch 90, representative training free energy -64474.9758809
Pre-training layer 1, epoch 90, validation free energy -63825.1665098
Pre-training layer 1, epoch 91, cost -270.035539398
Pre-training layer 1, epoch 92, cost -269.951918488
Pre-training layer 1, epoch 93, cost -269.887971954
Pre-training layer 1, epoch 94, cost -269.923342285
Pre-training layer 1, epoch 95, cost -269.792033081
Pre-training layer 1, epoch 95, representative training free energy -64837.8220527
Pre-training layer 1, epoch 95, validation free energy -64195.3355039
Pre-training layer 1, epoch 96, cost -269.495717773
Pre-training layer 1, epoch 97, cost -269.474625549
Pre-training layer 1, epoch 98, cost -269.441460419
Pre-training layer 1, epoch 99, cost -269.530800476
Pre-training layer 2, epoch 0, cost -162.068306656
Pre-training layer 2, epoch 0, representative training free energy 1644.57564023
Pre-training layer 2, epoch 0, validation free energy 1655.14428589
Pre-training layer 2, epoch 1, cost -108.128820572
Pre-training layer 2, epoch 2, cost -97.6539161682
Pre-training layer 2, epoch 3, cost -92.0527479553
Pre-training layer 2, epoch 4, cost -88.2342482758
Pre-training layer 2, epoch 5, cost -85.3267709351
Pre-training layer 2, epoch 5, representative training free energy 2583.25592694
Pre-training layer 2, epoch 5, validation free energy 2585.90510907
Pre-training layer 2, epoch 6, cost -83.0348959351
Pre-training layer 2, epoch 7, cost -81.1854510498
Pre-training layer 2, epoch 8, cost -79.8140016174
Pre-training layer 2, epoch 9, cost -78.562670784
Pre-training layer 2, epoch 10, cost -77.6776741409
Pre-training layer 2, epoch 10, representative training free energy 3034.66707812
Pre-training layer 2, epoch 10, validation free energy 3026.81742487
Pre-training layer 2, epoch 11, cost -76.5646582794
Pre-training layer 2, epoch 12, cost -75.7171015549
Pre-training layer 2, epoch 13, cost -74.971202774
Pre-training layer 2, epoch 14, cost -74.2364286423
Pre-training layer 2, epoch 15, cost -73.6795780945
Pre-training layer 2, epoch 15, representative training free energy 3386.22983051
Pre-training layer 2, epoch 15, validation free energy 3365.06331183
Pre-training layer 2, epoch 16, cost -73.0198627853
Pre-training layer 2, epoch 17, cost -72.4496363831
Pre-training layer 2, epoch 18, cost -72.0743106079
Pre-training layer 2, epoch 19, cost -71.5244128799
Pre-training layer 2, epoch 20, cost -71.347294426
Pre-training layer 2, epoch 20, representative training free energy 3609.56620221
Pre-training layer 2, epoch 20, validation free energy 3586.48043799
Pre-training layer 2, epoch 21, cost -70.9683543396
Pre-training layer 2, epoch 22, cost -70.6326609039
Pre-training layer 2, epoch 23, cost -70.2966172028
Pre-training layer 2, epoch 24, cost -69.9739508438
Pre-training layer 2, epoch 25, cost -69.64114254
Pre-training layer 2, epoch 25, representative training free energy 3835.55354114
Pre-training layer 2, epoch 25, validation free energy 3804.28313025
Pre-training layer 2, epoch 26, cost -69.0654494858
Pre-training layer 2, epoch 27, cost -68.8890667343
Pre-training layer 2, epoch 28, cost -69.0017901611
Pre-training layer 2, epoch 29, cost -68.5280668259
Pre-training layer 2, epoch 30, cost -68.2851958084
Pre-training layer 2, epoch 30, representative training free energy 4059.95452295
Pre-training layer 2, epoch 30, validation free energy 4022.66895959
Pre-training layer 2, epoch 31, cost -68.0590457535
Pre-training layer 2, epoch 32, cost -67.9938386917
Pre-training layer 2, epoch 33, cost -67.6842177582
Pre-training layer 2, epoch 34, cost -67.3577360535
Pre-training layer 2, epoch 35, cost -67.1516113663
Pre-training layer 2, epoch 35, representative training free energy 4254.29107129
Pre-training layer 2, epoch 35, validation free energy 4210.0462406
Pre-training layer 2, epoch 36, cost -66.8920706558
Pre-training layer 2, epoch 37, cost -66.7300295639
Pre-training layer 2, epoch 38, cost -66.7529494858
Pre-training layer 2, epoch 39, cost -66.5963923264
Pre-training layer 2, epoch 40, cost -66.441202507
Pre-training layer 2, epoch 40, representative training free energy 4419.60499084
Pre-training layer 2, epoch 40, validation free energy 4372.12676367
Pre-training layer 2, epoch 41, cost -66.2745428848
Pre-training layer 2, epoch 42, cost -66.089913063
Pre-training layer 2, epoch 43, cost -66.1902256012
Pre-training layer 2, epoch 44, cost -65.7711911011
Pre-training layer 2, epoch 45, cost -65.7799150085
Pre-training layer 2, epoch 45, representative training free energy 4584.88399292
Pre-training layer 2, epoch 45, validation free energy 4532.67662451
Pre-training layer 2, epoch 46, cost -65.663460083
Pre-training layer 2, epoch 47, cost -65.7153057098
Pre-training layer 2, epoch 48, cost -65.3964757919
Pre-training layer 2, epoch 49, cost -65.3047282028
Pre-training layer 2, epoch 50, cost -65.1580528259
Pre-training layer 2, epoch 50, representative training free energy 4724.96697168
Pre-training layer 2, epoch 50, validation free energy 4666.42115442
Pre-training layer 2, epoch 51, cost -65.0610866165
Pre-training layer 2, epoch 52, cost -64.9679098892
Pre-training layer 2, epoch 53, cost -64.9979194641
Pre-training layer 2, epoch 54, cost -65.0034154129
Pre-training layer 2, epoch 55, cost -64.7365613556
Pre-training layer 2, epoch 55, representative training free energy 4862.67784766
Pre-training layer 2, epoch 55, validation free energy 4802.23959058
Pre-training layer 2, epoch 56, cost -64.7540674591
Pre-training layer 2, epoch 57, cost -64.7730278015
Pre-training layer 2, epoch 58, cost -64.5742700195
Pre-training layer 2, epoch 59, cost -64.3765324402
Pre-training layer 2, epoch 60, cost -64.2203659058
Pre-training layer 2, epoch 60, representative training free energy 4992.41376501
Pre-training layer 2, epoch 60, validation free energy 4931.95821533
Pre-training layer 2, epoch 61, cost -64.3329121017
Pre-training layer 2, epoch 62, cost -64.169987793
Pre-training layer 2, epoch 63, cost -64.0594106674
Pre-training layer 2, epoch 64, cost -64.0913251877
Pre-training layer 2, epoch 65, cost -63.9235912323
Pre-training layer 2, epoch 65, representative training free energy 5106.33883044
Pre-training layer 2, epoch 65, validation free energy 5043.06421411
Pre-training layer 2, epoch 66, cost -63.8379176712
Pre-training layer 2, epoch 67, cost -63.8454376221
Pre-training layer 2, epoch 68, cost -63.6328992081
Pre-training layer 2, epoch 69, cost -63.555153923
Pre-training layer 2, epoch 70, cost -63.6099546051
Pre-training layer 2, epoch 70, representative training free energy 5220.66337915
Pre-training layer 2, epoch 70, validation free energy 5153.46124377
Pre-training layer 2, epoch 71, cost -63.6155857468
Pre-training layer 2, epoch 72, cost -63.6104019165
Pre-training layer 2, epoch 73, cost -63.4003291321
Pre-training layer 2, epoch 74, cost -63.3473213577
Pre-training layer 2, epoch 75, cost -63.3676839447
Pre-training layer 2, epoch 75, representative training free energy 5328.51716455
Pre-training layer 2, epoch 75, validation free energy 5259.94487537
Pre-training layer 2, epoch 76, cost -63.1898415375
Pre-training layer 2, epoch 77, cost -63.1481793594
Pre-training layer 2, epoch 78, cost -63.1774718857
Pre-training layer 2, epoch 79, cost -63.0588206863
Pre-training layer 2, epoch 80, cost -63.0888304901
Pre-training layer 2, epoch 80, representative training free energy 5438.63351343
Pre-training layer 2, epoch 80, validation free energy 5365.92787585
Pre-training layer 2, epoch 81, cost -63.1481653595
Pre-training layer 2, epoch 82, cost -63.1048115921
Pre-training layer 2, epoch 83, cost -63.0061296082
Pre-training layer 2, epoch 84, cost -62.8116047287
Pre-training layer 2, epoch 85, cost -62.9733868408
Pre-training layer 2, epoch 85, representative training free energy 5547.36249792
Pre-training layer 2, epoch 85, validation free energy 5474.52287256
Pre-training layer 2, epoch 86, cost -62.7152925873
Pre-training layer 2, epoch 87, cost -62.857025528
Pre-training layer 2, epoch 88, cost -62.7380921936
Pre-training layer 2, epoch 89, cost -62.6926640701
Pre-training layer 2, epoch 90, cost -62.6106501389
Pre-training layer 2, epoch 90, representative training free energy 5638.92340442
Pre-training layer 2, epoch 90, validation free energy 5561.67874268
Pre-training layer 2, epoch 91, cost -62.7513168335
Pre-training layer 2, epoch 92, cost -62.490234375
Pre-training layer 2, epoch 93, cost -62.6818227005
Pre-training layer 2, epoch 94, cost -62.4195717621
Pre-training layer 2, epoch 95, cost -62.5261766434
Pre-training layer 2, epoch 95, representative training free energy 5732.42272229
Pre-training layer 2, epoch 95, validation free energy 5656.24854041
Pre-training layer 2, epoch 96, cost -62.3287667465
Pre-training layer 2, epoch 97, cost -62.4433759689
Pre-training layer 2, epoch 98, cost -62.3172029114
Pre-training layer 2, epoch 99, cost -62.3090958023
The pretraining code for file dbn_loop.pyc ran for 1.05m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 100/100, validation error 23.900000 %
     epoch 1, minibatch 100/100, test error of best model 25.500000 %
epoch 2, minibatch 100/100, validation error 19.000000 %
     epoch 2, minibatch 100/100, test error of best model 19.400000 %
epoch 3, minibatch 100/100, validation error 17.800000 %
     epoch 3, minibatch 100/100, test error of best model 17.100000 %
epoch 4, minibatch 100/100, validation error 16.900000 %
     epoch 4, minibatch 100/100, test error of best model 16.400000 %
epoch 5, minibatch 100/100, validation error 16.500000 %
     epoch 5, minibatch 100/100, test error of best model 15.700000 %
epoch 6, minibatch 100/100, validation error 15.100000 %
     epoch 6, minibatch 100/100, test error of best model 14.800000 %
epoch 7, minibatch 100/100, validation error 14.600000 %
     epoch 7, minibatch 100/100, test error of best model 14.500000 %
epoch 8, minibatch 100/100, validation error 14.200000 %
     epoch 8, minibatch 100/100, test error of best model 14.000000 %
epoch 9, minibatch 100/100, validation error 13.700000 %
     epoch 9, minibatch 100/100, test error of best model 14.200000 %
epoch 10, minibatch 100/100, validation error 13.600000 %
     epoch 10, minibatch 100/100, test error of best model 14.100000 %
epoch 11, minibatch 100/100, validation error 13.500000 %
     epoch 11, minibatch 100/100, test error of best model 13.800000 %
epoch 12, minibatch 100/100, validation error 13.300000 %
     epoch 12, minibatch 100/100, test error of best model 13.300000 %
epoch 13, minibatch 100/100, validation error 12.900000 %
     epoch 13, minibatch 100/100, test error of best model 12.900000 %
epoch 14, minibatch 100/100, validation error 12.800000 %
     epoch 14, minibatch 100/100, test error of best model 12.800000 %
epoch 15, minibatch 100/100, validation error 12.300000 %
     epoch 15, minibatch 100/100, test error of best model 12.700000 %
epoch 16, minibatch 100/100, validation error 11.900000 %
     epoch 16, minibatch 100/100, test error of best model 12.700000 %
epoch 17, minibatch 100/100, validation error 11.800000 %
     epoch 17, minibatch 100/100, test error of best model 12.700000 %
epoch 18, minibatch 100/100, validation error 11.500000 %
     epoch 18, minibatch 100/100, test error of best model 12.600000 %
epoch 19, minibatch 100/100, validation error 11.200000 %
     epoch 19, minibatch 100/100, test error of best model 12.400000 %
epoch 20, minibatch 100/100, validation error 11.200000 %
epoch 21, minibatch 100/100, validation error 11.100000 %
     epoch 21, minibatch 100/100, test error of best model 12.300000 %
epoch 22, minibatch 100/100, validation error 11.300000 %
epoch 23, minibatch 100/100, validation error 11.000000 %
     epoch 23, minibatch 100/100, test error of best model 12.400000 %
epoch 24, minibatch 100/100, validation error 10.800000 %
     epoch 24, minibatch 100/100, test error of best model 12.500000 %
epoch 25, minibatch 100/100, validation error 10.700000 %
     epoch 25, minibatch 100/100, test error of best model 12.200000 %
epoch 26, minibatch 100/100, validation error 10.700000 %
epoch 27, minibatch 100/100, validation error 10.700000 %
epoch 28, minibatch 100/100, validation error 10.500000 %
     epoch 28, minibatch 100/100, test error of best model 12.100000 %
epoch 29, minibatch 100/100, validation error 10.200000 %
     epoch 29, minibatch 100/100, test error of best model 12.100000 %
epoch 30, minibatch 100/100, validation error 10.100000 %
     epoch 30, minibatch 100/100, test error of best model 11.900000 %
epoch 31, minibatch 100/100, validation error 10.100000 %
epoch 32, minibatch 100/100, validation error 9.900000 %
     epoch 32, minibatch 100/100, test error of best model 12.000000 %
epoch 33, minibatch 100/100, validation error 9.900000 %
epoch 34, minibatch 100/100, validation error 9.800000 %
     epoch 34, minibatch 100/100, test error of best model 12.000000 %
epoch 35, minibatch 100/100, validation error 9.800000 %
epoch 36, minibatch 100/100, validation error 9.800000 %
epoch 37, minibatch 100/100, validation error 9.700000 %
     epoch 37, minibatch 100/100, test error of best model 11.900000 %
epoch 38, minibatch 100/100, validation error 9.900000 %
epoch 39, minibatch 100/100, validation error 10.000000 %
epoch 40, minibatch 100/100, validation error 10.000000 %
epoch 41, minibatch 100/100, validation error 10.000000 %
epoch 42, minibatch 100/100, validation error 10.000000 %
epoch 43, minibatch 100/100, validation error 10.000000 %
epoch 44, minibatch 100/100, validation error 10.000000 %
epoch 45, minibatch 100/100, validation error 10.000000 %
epoch 46, minibatch 100/100, validation error 10.000000 %
epoch 47, minibatch 100/100, validation error 10.000000 %
epoch 48, minibatch 100/100, validation error 10.000000 %
epoch 49, minibatch 100/100, validation error 10.000000 %
epoch 50, minibatch 100/100, validation error 10.000000 %
epoch 51, minibatch 100/100, validation error 10.000000 %
epoch 52, minibatch 100/100, validation error 10.000000 %
epoch 53, minibatch 100/100, validation error 10.000000 %
epoch 54, minibatch 100/100, validation error 10.000000 %
epoch 55, minibatch 100/100, validation error 9.900000 %
epoch 56, minibatch 100/100, validation error 9.900000 %
epoch 57, minibatch 100/100, validation error 9.900000 %
epoch 58, minibatch 100/100, validation error 9.900000 %
epoch 59, minibatch 100/100, validation error 9.900000 %
epoch 60, minibatch 100/100, validation error 9.900000 %
epoch 61, minibatch 100/100, validation error 9.900000 %
epoch 62, minibatch 100/100, validation error 9.900000 %
epoch 63, minibatch 100/100, validation error 9.900000 %
epoch 64, minibatch 100/100, validation error 9.900000 %
epoch 65, minibatch 100/100, validation error 9.900000 %
epoch 66, minibatch 100/100, validation error 9.900000 %
epoch 67, minibatch 100/100, validation error 9.900000 %
epoch 68, minibatch 100/100, validation error 9.900000 %
epoch 69, minibatch 100/100, validation error 9.900000 %
epoch 70, minibatch 100/100, validation error 9.900000 %
epoch 71, minibatch 100/100, validation error 9.900000 %
