_______RUN: 0

==========Sample Size: (1000, 1000, 1000) ===========
Pre-training layer 0, epoch 95, cost -64.379552536
Pre-training layer 0, epoch 95, representative training free energy -296.908671005
Pre-training layer 0, epoch 95, validation free energy -256.570753357
Pre-training layer 0, epoch 96, cost -64.309082489
Pre-training layer 0, epoch 97, cost -64.1740071869
Pre-training layer 0, epoch 98, cost -64.1353744507
Pre-training layer 0, epoch 99, cost -64.0933337402
Pre-training layer 1, epoch 0, cost -168.766860886
Pre-training layer 1, epoch 0, representative training free energy -226875.373414
Pre-training layer 1, epoch 0, validation free energy -223370.465539
Pre-training layer 1, epoch 1, cost -122.183825989
Pre-training layer 1, epoch 2, cost -111.552244797
Pre-training layer 1, epoch 3, cost -105.074302444
Pre-training layer 1, epoch 4, cost -100.5498983
Pre-training layer 1, epoch 5, cost -96.9426625061
Pre-training layer 1, epoch 5, representative training free energy -275196.87982
Pre-training layer 1, epoch 5, validation free energy -271179.304281
Pre-training layer 1, epoch 6, cost -94.2959290314
Pre-training layer 1, epoch 7, cost -91.740331955
Pre-training layer 1, epoch 8, cost -89.8381671143
Pre-training layer 1, epoch 9, cost -88.4308205795
Pre-training layer 1, epoch 10, cost -86.8089936066
Pre-training layer 1, epoch 10, representative training free energy -298497.873867
Pre-training layer 1, epoch 10, validation free energy -294109.297133
Pre-training layer 1, epoch 11, cost -85.6227717209
Pre-training layer 1, epoch 12, cost -84.5720874023
Pre-training layer 1, epoch 13, cost -83.5939396286
Pre-training layer 1, epoch 14, cost -83.0224266052
Pre-training layer 1, epoch 15, cost -81.8287748337
Pre-training layer 1, epoch 15, representative training free energy -315532.732578
Pre-training layer 1, epoch 15, validation free energy -311051.558602
Pre-training layer 1, epoch 16, cost -81.3121893311
Pre-training layer 1, epoch 17, cost -80.6971296692
Pre-training layer 1, epoch 18, cost -80.1026434326
Pre-training layer 1, epoch 19, cost -79.6106301498
Pre-training layer 1, epoch 20, cost -79.0247370148
Pre-training layer 1, epoch 20, representative training free energy -329380.643008
Pre-training layer 1, epoch 20, validation free energy -324681.549516
Pre-training layer 1, epoch 21, cost -78.5199527359
Pre-training layer 1, epoch 22, cost -77.9855745697
Pre-training layer 1, epoch 23, cost -77.6274327087
Pre-training layer 1, epoch 24, cost -77.1414656067
Pre-training layer 1, epoch 25, cost -76.7585787201
Pre-training layer 1, epoch 25, representative training free energy -340521.961172
Pre-training layer 1, epoch 25, validation free energy -335737.939008
Pre-training layer 1, epoch 26, cost -76.5409421921
Pre-training layer 1, epoch 27, cost -76.2201283646
Pre-training layer 1, epoch 28, cost -75.7924939346
Pre-training layer 1, epoch 29, cost -75.5503279495
Pre-training layer 1, epoch 30, cost -75.1330475235
Pre-training layer 1, epoch 30, representative training free energy -350644.089977
Pre-training layer 1, epoch 30, validation free energy -345697.215422
Pre-training layer 1, epoch 31, cost -75.1819934464
Pre-training layer 1, epoch 32, cost -74.970442543
Pre-training layer 1, epoch 33, cost -74.663288269
Pre-training layer 1, epoch 34, cost -74.3102796936
Pre-training layer 1, epoch 35, cost -74.2260289383
Pre-training layer 1, epoch 35, representative training free energy -358527.018172
Pre-training layer 1, epoch 35, validation free energy -353463.039914
Pre-training layer 1, epoch 36, cost -73.9502560806
Pre-training layer 1, epoch 37, cost -73.9417181778
Pre-training layer 1, epoch 38, cost -73.5326321793
Pre-training layer 1, epoch 39, cost -73.4422352982
Pre-training layer 1, epoch 40, cost -73.2769396973
Pre-training layer 1, epoch 40, representative training free energy -365847.347539
Pre-training layer 1, epoch 40, validation free energy -360756.943781
Pre-training layer 1, epoch 41, cost -73.1460987854
Pre-training layer 1, epoch 42, cost -72.9564592743
Pre-training layer 1, epoch 43, cost -72.9059353638
Pre-training layer 1, epoch 44, cost -72.7652093887
Pre-training layer 1, epoch 45, cost -72.4222441101
Pre-training layer 1, epoch 45, representative training free energy -372778.284008
Pre-training layer 1, epoch 45, validation free energy -367648.313
Pre-training layer 1, epoch 46, cost -72.3130838776
Pre-training layer 1, epoch 47, cost -72.2083078003
Pre-training layer 1, epoch 48, cost -72.1208131027
Pre-training layer 1, epoch 49, cost -71.8569739914
Pre-training layer 1, epoch 50, cost -71.8406337357
Pre-training layer 1, epoch 50, representative training free energy -378732.002383
Pre-training layer 1, epoch 50, validation free energy -373485.671422
Pre-training layer 1, epoch 51, cost -71.8161100769
Pre-training layer 1, epoch 52, cost -71.5532333374
Pre-training layer 1, epoch 53, cost -71.6410121155
Pre-training layer 1, epoch 54, cost -71.4750318909
Pre-training layer 1, epoch 55, cost -71.3224228287
Pre-training layer 1, epoch 55, representative training free energy -383987.863094
Pre-training layer 1, epoch 55, validation free energy -378694.144039
Pre-training layer 1, epoch 56, cost -71.2035897827
Pre-training layer 1, epoch 57, cost -71.1481095886
Pre-training layer 1, epoch 58, cost -71.1022605133
Pre-training layer 1, epoch 59, cost -71.0421463394
Pre-training layer 1, epoch 60, cost -70.9766016769
Pre-training layer 1, epoch 60, representative training free energy -389099.617117
Pre-training layer 1, epoch 60, validation free energy -383754.58082
Pre-training layer 1, epoch 61, cost -70.7176578903
Pre-training layer 1, epoch 62, cost -70.6522227097
Pre-training layer 1, epoch 63, cost -70.6463125229
Pre-training layer 1, epoch 64, cost -70.4610769272
Pre-training layer 1, epoch 65, cost -70.489263382
Pre-training layer 1, epoch 65, representative training free energy -393864.387062
Pre-training layer 1, epoch 65, validation free energy -388534.239187
Pre-training layer 1, epoch 66, cost -70.4807922363
Pre-training layer 1, epoch 67, cost -70.3540149689
Pre-training layer 1, epoch 68, cost -70.0656612778
Pre-training layer 1, epoch 69, cost -70.1399625397
Pre-training layer 1, epoch 70, cost -70.2103733826
Pre-training layer 1, epoch 70, representative training free energy -398157.119648
Pre-training layer 1, epoch 70, validation free energy -392779.362938
Pre-training layer 1, epoch 71, cost -70.0038683319
Pre-training layer 1, epoch 72, cost -69.9958741379
Pre-training layer 1, epoch 73, cost -70.0120928955
Pre-training layer 1, epoch 74, cost -69.8863698578
Pre-training layer 1, epoch 75, cost -69.7673101425
Pre-training layer 1, epoch 75, representative training free energy -402293.879688
Pre-training layer 1, epoch 75, validation free energy -396904.78525
Pre-training layer 1, epoch 76, cost -69.7953642273
Pre-training layer 1, epoch 77, cost -69.674123764
Pre-training layer 1, epoch 78, cost -69.7477437592
Pre-training layer 1, epoch 79, cost -69.7002713013
Pre-training layer 1, epoch 80, cost -69.5788597107
Pre-training layer 1, epoch 80, representative training free energy -405419.624055
Pre-training layer 1, epoch 80, validation free energy -400027.065109
Pre-training layer 1, epoch 81, cost -69.4216631317
Pre-training layer 1, epoch 82, cost -69.4695183182
Pre-training layer 1, epoch 83, cost -69.3331514359
Pre-training layer 1, epoch 84, cost -69.3106450272
Pre-training layer 1, epoch 85, cost -69.3987506104
Pre-training layer 1, epoch 85, representative training free energy -409371.797031
Pre-training layer 1, epoch 85, validation free energy -403862.287906
Pre-training layer 1, epoch 86, cost -69.1703863907
Pre-training layer 1, epoch 87, cost -69.2368816376
Pre-training layer 1, epoch 88, cost -69.1907555389
Pre-training layer 1, epoch 89, cost -69.1107780075
Pre-training layer 1, epoch 90, cost -69.1058645248
Pre-training layer 1, epoch 90, representative training free energy -412876.868516
Pre-training layer 1, epoch 90, validation free energy -407328.660375
Pre-training layer 1, epoch 91, cost -68.948494873
Pre-training layer 1, epoch 92, cost -69.0228060913
Pre-training layer 1, epoch 93, cost -68.9309299469
Pre-training layer 1, epoch 94, cost -68.9468527985
Pre-training layer 1, epoch 95, cost -68.751752739
Pre-training layer 1, epoch 95, representative training free energy -416242.318391
Pre-training layer 1, epoch 95, validation free energy -410629.39525
Pre-training layer 1, epoch 96, cost -68.836324501
Pre-training layer 1, epoch 97, cost -68.6680688858
Pre-training layer 1, epoch 98, cost -68.7775835419
Pre-training layer 1, epoch 99, cost -68.7036751175
Pre-training layer 2, epoch 0, cost -160.20553978
Pre-training layer 2, epoch 0, representative training free energy 17907.9353521
Pre-training layer 2, epoch 0, validation free energy 17683.017873
Pre-training layer 2, epoch 1, cost -110.35565567
Pre-training layer 2, epoch 2, cost -99.7895185852
Pre-training layer 2, epoch 3, cost -93.8088921356
Pre-training layer 2, epoch 4, cost -89.6240365601
Pre-training layer 2, epoch 5, cost -86.5499184799
Pre-training layer 2, epoch 5, representative training free energy 42147.1270029
Pre-training layer 2, epoch 5, validation free energy 41686.1927803
Pre-training layer 2, epoch 6, cost -84.3077389526
Pre-training layer 2, epoch 7, cost -82.6392372894
Pre-training layer 2, epoch 8, cost -80.9848906326
Pre-training layer 2, epoch 9, cost -79.79876194
Pre-training layer 2, epoch 10, cost -78.6844297409
Pre-training layer 2, epoch 10, representative training free energy 62095.9760449
Pre-training layer 2, epoch 10, validation free energy 61473.0337187
Pre-training layer 2, epoch 11, cost -77.7375140381
Pre-training layer 2, epoch 12, cost -77.0719632721
Pre-training layer 2, epoch 13, cost -75.9241365051
Pre-training layer 2, epoch 14, cost -75.4021785736
Pre-training layer 2, epoch 15, cost -74.645386734
Pre-training layer 2, epoch 15, representative training free energy 75034.1435547
Pre-training layer 2, epoch 15, validation free energy 74299.6615352
Pre-training layer 2, epoch 16, cost -74.117938652
Pre-training layer 2, epoch 17, cost -74.1267105103
Pre-training layer 2, epoch 18, cost -73.4206442261
Pre-training layer 2, epoch 19, cost -72.8433643341
Pre-training layer 2, epoch 20, cost -72.4959324265
Pre-training layer 2, epoch 20, representative training free energy 85312.0615391
Pre-training layer 2, epoch 20, validation free energy 84499.5121094
Pre-training layer 2, epoch 21, cost -72.2752713394
Pre-training layer 2, epoch 22, cost -71.755641861
Pre-training layer 2, epoch 23, cost -71.6631393433
Pre-training layer 2, epoch 24, cost -71.2369000626
Pre-training layer 2, epoch 25, cost -70.9208600235
Pre-training layer 2, epoch 25, representative training free energy 94521.4107285
Pre-training layer 2, epoch 25, validation free energy 93619.7715547
Pre-training layer 2, epoch 26, cost -70.9212238312
Pre-training layer 2, epoch 27, cost -70.4397050476
Pre-training layer 2, epoch 28, cost -70.1502604294
Pre-training layer 2, epoch 29, cost -69.7529618454
Pre-training layer 2, epoch 30, cost -69.647820015
Pre-training layer 2, epoch 30, representative training free energy 101571.497441
Pre-training layer 2, epoch 30, validation free energy 100604.567047
Pre-training layer 2, epoch 31, cost -69.4139765167
Pre-training layer 2, epoch 32, cost -69.3501551819
Pre-training layer 2, epoch 33, cost -69.1653294754
Pre-training layer 2, epoch 34, cost -69.0833341599
Pre-training layer 2, epoch 35, cost -69.0144890594
Pre-training layer 2, epoch 35, representative training free energy 108033.247746
Pre-training layer 2, epoch 35, validation free energy 106987.139703
Pre-training layer 2, epoch 36, cost -68.843551178
Pre-training layer 2, epoch 37, cost -68.5331295395
Pre-training layer 2, epoch 38, cost -68.2720833588
Pre-training layer 2, epoch 39, cost -68.1324453354
Pre-training layer 2, epoch 40, cost -68.0186170578
Pre-training layer 2, epoch 40, representative training free energy 113496.759746
Pre-training layer 2, epoch 40, validation free energy 112395.379109
Pre-training layer 2, epoch 41, cost -68.1062266541
Pre-training layer 2, epoch 42, cost -67.8539746857
Pre-training layer 2, epoch 43, cost -67.6858841324
Pre-training layer 2, epoch 44, cost -67.5806824112
Pre-training layer 2, epoch 45, cost -67.4596374512
Pre-training layer 2, epoch 45, representative training free energy 117715.89991
Pre-training layer 2, epoch 45, validation free energy 116587.657422
Pre-training layer 2, epoch 46, cost -67.4704124832
Pre-training layer 2, epoch 47, cost -67.0919684982
Pre-training layer 2, epoch 48, cost -67.167625351
Pre-training layer 2, epoch 49, cost -67.0895544434
Pre-training layer 2, epoch 50, cost -67.0027769852
Pre-training layer 2, epoch 50, representative training free energy 121482.911418
Pre-training layer 2, epoch 50, validation free energy 120317.970074
Pre-training layer 2, epoch 51, cost -66.9390909195
Pre-training layer 2, epoch 52, cost -66.9621547699
Pre-training layer 2, epoch 53, cost -66.808808136
Pre-training layer 2, epoch 54, cost -66.6021971512
Pre-training layer 2, epoch 55, cost -66.4492436981
Pre-training layer 2, epoch 55, representative training free energy 124587.053289
Pre-training layer 2, epoch 55, validation free energy 123356.30241
Pre-training layer 2, epoch 56, cost -66.4011324692
Pre-training layer 2, epoch 57, cost -66.4194749069
Pre-training layer 2, epoch 58, cost -66.2639173126
Pre-training layer 2, epoch 59, cost -66.2726874542
Pre-training layer 2, epoch 60, cost -66.0598442841
Pre-training layer 2, epoch 60, representative training free energy 128009.111207
Pre-training layer 2, epoch 60, validation free energy 126753.382875
Pre-training layer 2, epoch 61, cost -66.1216910553
Pre-training layer 2, epoch 62, cost -65.9429601288
Pre-training layer 2, epoch 63, cost -65.8892904663
Pre-training layer 2, epoch 64, cost -65.8254662704
Pre-training layer 2, epoch 65, cost -65.8275106049
Pre-training layer 2, epoch 65, representative training free energy 130110.987977
Pre-training layer 2, epoch 65, validation free energy 128835.425176
Pre-training layer 2, epoch 66, cost -65.6754555511
Pre-training layer 2, epoch 67, cost -65.6820159912
Pre-training layer 2, epoch 68, cost -65.6078713989
Pre-training layer 2, epoch 69, cost -65.5027199936
Pre-training layer 2, epoch 70, cost -65.6611416626
Pre-training layer 2, epoch 70, representative training free energy 132132.430609
Pre-training layer 2, epoch 70, validation free energy 130871.369852
Pre-training layer 2, epoch 71, cost -65.4516872787
Pre-training layer 2, epoch 72, cost -65.3666135406
Pre-training layer 2, epoch 73, cost -65.3356372452
Pre-training layer 2, epoch 74, cost -65.2134753036
Pre-training layer 2, epoch 75, cost -65.2371903992
Pre-training layer 2, epoch 75, representative training free energy 135075.098441
Pre-training layer 2, epoch 75, validation free energy 133796.432848
Pre-training layer 2, epoch 76, cost -65.1902103806
Pre-training layer 2, epoch 77, cost -65.0150734711
Pre-training layer 2, epoch 78, cost -65.1594466782
Pre-training layer 2, epoch 79, cost -65.1076452255
Pre-training layer 2, epoch 80, cost -65.0094975662
Pre-training layer 2, epoch 80, representative training free energy 136774.711871
Pre-training layer 2, epoch 80, validation free energy 135493.18809
Pre-training layer 2, epoch 81, cost -64.9155136108
Pre-training layer 2, epoch 82, cost -64.9955194092
Pre-training layer 2, epoch 83, cost -64.8237624741
Pre-training layer 2, epoch 84, cost -64.8069537354
Pre-training layer 2, epoch 85, cost -64.7119375992
Pre-training layer 2, epoch 85, representative training free energy 138328.484629
Pre-training layer 2, epoch 85, validation free energy 137039.244656
Pre-training layer 2, epoch 86, cost -64.7597065735
Pre-training layer 2, epoch 87, cost -64.6335099411
Pre-training layer 2, epoch 88, cost -64.6341810226
Pre-training layer 2, epoch 89, cost -64.6035445404
Pre-training layer 2, epoch 90, cost -64.5999121094
Pre-training layer 2, epoch 90, representative training free energy 141334.189355
Pre-training layer 2, epoch 90, validation free energy 140010.625629
Pre-training layer 2, epoch 91, cost -64.4366296005
Pre-training layer 2, epoch 92, cost -64.3811028671
Pre-training layer 2, epoch 93, cost -64.5558585739
Pre-training layer 2, epoch 94, cost -64.4471873856
Pre-training layer 2, epoch 95, cost -64.3280178452
Pre-training layer 2, epoch 95, representative training free energy 143696.821004
Pre-training layer 2, epoch 95, validation free energy 142325.603766
Pre-training layer 2, epoch 96, cost -64.29271595
Pre-training layer 2, epoch 97, cost -64.3290096283
Pre-training layer 2, epoch 98, cost -64.2461004639
Pre-training layer 2, epoch 99, cost -64.3228752518
The pretraining code for file dbn_loop.pyc ran for 1.05m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 100/100, validation error 19.000000 %
     epoch 1, minibatch 100/100, test error of best model 18.200000 %
epoch 2, minibatch 100/100, validation error 15.800000 %
     epoch 2, minibatch 100/100, test error of best model 15.800000 %
epoch 3, minibatch 100/100, validation error 14.000000 %
     epoch 3, minibatch 100/100, test error of best model 14.200000 %
epoch 4, minibatch 100/100, validation error 13.200000 %
     epoch 4, minibatch 100/100, test error of best model 12.700000 %
epoch 5, minibatch 100/100, validation error 12.700000 %
     epoch 5, minibatch 100/100, test error of best model 12.400000 %
epoch 6, minibatch 100/100, validation error 11.800000 %
     epoch 6, minibatch 100/100, test error of best model 11.600000 %
epoch 7, minibatch 100/100, validation error 11.600000 %
     epoch 7, minibatch 100/100, test error of best model 11.700000 %
epoch 8, minibatch 100/100, validation error 11.400000 %
     epoch 8, minibatch 100/100, test error of best model 11.800000 %
epoch 9, minibatch 100/100, validation error 11.300000 %
     epoch 9, minibatch 100/100, test error of best model 11.300000 %
epoch 10, minibatch 100/100, validation error 11.200000 %
     epoch 10, minibatch 100/100, test error of best model 11.100000 %
epoch 11, minibatch 100/100, validation error 11.000000 %
     epoch 11, minibatch 100/100, test error of best model 10.900000 %
epoch 12, minibatch 100/100, validation error 10.900000 %
     epoch 12, minibatch 100/100, test error of best model 10.600000 %
epoch 13, minibatch 100/100, validation error 10.900000 %
epoch 14, minibatch 100/100, validation error 10.800000 %
     epoch 14, minibatch 100/100, test error of best model 10.500000 %
epoch 15, minibatch 100/100, validation error 10.800000 %
epoch 16, minibatch 100/100, validation error 10.800000 %
epoch 17, minibatch 100/100, validation error 10.800000 %
epoch 18, minibatch 100/100, validation error 10.800000 %
epoch 19, minibatch 100/100, validation error 10.800000 %
epoch 20, minibatch 100/100, validation error 10.700000 %
     epoch 20, minibatch 100/100, test error of best model 10.400000 %
epoch 21, minibatch 100/100, validation error 10.700000 %
epoch 22, minibatch 100/100, validation error 10.700000 %
epoch 23, minibatch 100/100, validation error 10.700000 %
epoch 24, minibatch 100/100, validation error 10.500000 %
     epoch 24, minibatch 100/100, test error of best model 10.300000 %
epoch 25, minibatch 100/100, validation error 10.600000 %
epoch 26, minibatch 100/100, validation error 10.600000 %
epoch 27, minibatch 100/100, validation error 10.500000 %
epoch 28, minibatch 100/100, validation error 10.500000 %
epoch 29, minibatch 100/100, validation error 10.500000 %
epoch 30, minibatch 100/100, validation error 10.400000 %
     epoch 30, minibatch 100/100, test error of best model 10.400000 %
epoch 31, minibatch 100/100, validation error 10.400000 %
epoch 32, minibatch 100/100, validation error 10.400000 %
epoch 33, minibatch 100/100, validation error 10.300000 %
     epoch 33, minibatch 100/100, test error of best model 10.300000 %
epoch 34, minibatch 100/100, validation error 10.300000 %
epoch 35, minibatch 100/100, validation error 10.300000 %
epoch 36, minibatch 100/100, validation error 10.300000 %
epoch 37, minibatch 100/100, validation error 10.300000 %
epoch 38, minibatch 100/100, validation error 10.300000 %
epoch 39, minibatch 100/100, validation error 10.300000 %
epoch 40, minibatch 100/100, validation error 10.200000 %
     epoch 40, minibatch 100/100, test error of best model 10.400000 %
epoch 41, minibatch 100/100, validation error 10.200000 %
epoch 42, minibatch 100/100, validation error 10.200000 %
epoch 43, minibatch 100/100, validation error 10.100000 %
     epoch 43, minibatch 100/100, test error of best model 10.400000 %
epoch 44, minibatch 100/100, validation error 10.100000 %
epoch 45, minibatch 100/100, validation error 10.100000 %
epoch 46, minibatch 100/100, validation error 10.100000 %
epoch 47, minibatch 100/100, validation error 10.100000 %
epoch 48, minibatch 100/100, validation error 10.000000 %
     epoch 48, minibatch 100/100, test error of best model 10.200000 %
epoch 49, minibatch 100/100, validation error 10.000000 %
epoch 50, minibatch 100/100, validation error 10.000000 %
epoch 51, minibatch 100/100, validation error 10.000000 %
epoch 52, minibatch 100/100, validation error 10.000000 %
epoch 53, minibatch 100/100, validation error 10.000000 %
epoch 54, minibatch 100/100, validation error 10.000000 %
epoch 55, minibatch 100/100, validation error 10.000000 %
epoch 56, minibatch 100/100, validation error 10.100000 %
epoch 57, minibatch 100/100, validation error 10.100000 %
epoch 58, minibatch 100/100, validation error 10.100000 %
epoch 59, minibatch 100/100, validation error 10.100000 %
epoch 60, minibatch 100/100, validation error 10.100000 %
epoch 61, minibatch 100/100, validation error 10.100000 %
epoch 62, minibatch 100/100, validation error 10.100000 %
epoch 63, minibatch 100/100, validation error 10.100000 %
epoch 64, minibatch 100/100, validation error 10.100000 %
epoch 65, minibatch 100/100, validation error 10.100000 %
epoch 66, minibatch 100/100, validation error 10.000000 %
epoch 67, minibatch 100/100, validation error 10.000000 %
epoch 68, minibatch 100/100, validation error 10.000000 %
epoch 69, minibatch 100/100, validation error 10.000000 %
epoch 70, minibatch 100/100, validation error 10.000000 %
epoch 71, minibatch 100/100, validation error 10.000000 %
epoch 72, minibatch 100/100, validation error 10.000000 %
epoch 73, minibatch 100/100, validation error 10.000000 %
epoch 74, minibatch 100/100, validation error 10.000000 %
epoch 75, minibatch 100/100, validation error 10.000000 %
epoch 76, minibatch 100/100, validation error 10.100000 %
epoch 77, minibatch 100/100, validation error 10.100000 %
epoch 78, minibatch 100/100, validation error 10.100000 %
epoch 79, minibatch 100/100, validation error 10.000000 %
epoch 80, minibatch 100/100, validation error 10.000000 %
