_______RUN: 0

==========Hidden Layer: [500, 500, 2000] ===========
Pre-training layer 0, epoch 95, cost -73.5678321838
Pre-training layer 0, epoch 95, representative training free energy -371.232226318
Pre-training layer 0, epoch 95, validation free energy -362.477330963
Pre-training layer 0, epoch 96, cost -73.4959816456
Pre-training layer 0, epoch 97, cost -73.5494415855
Pre-training layer 0, epoch 98, cost -73.4210778046
Pre-training layer 0, epoch 99, cost -73.4086833096
Pre-training layer 1, epoch 0, cost -203.430863953
Pre-training layer 1, epoch 0, representative training free energy -21836.0876694
Pre-training layer 1, epoch 0, validation free energy -21665.3130835
Pre-training layer 1, epoch 1, cost -172.529010201
Pre-training layer 1, epoch 2, cost -162.852884464
Pre-training layer 1, epoch 3, cost -156.709895248
Pre-training layer 1, epoch 4, cost -152.589178677
Pre-training layer 1, epoch 5, cost -149.294956551
Pre-training layer 1, epoch 5, representative training free energy -29682.8112046
Pre-training layer 1, epoch 5, validation free energy -29367.155957
Pre-training layer 1, epoch 6, cost -146.830373993
Pre-training layer 1, epoch 7, cost -144.832243366
Pre-training layer 1, epoch 8, cost -143.085397987
Pre-training layer 1, epoch 9, cost -141.654593334
Pre-training layer 1, epoch 10, cost -140.419348545
Pre-training layer 1, epoch 10, representative training free energy -32554.794708
Pre-training layer 1, epoch 10, validation free energy -32193.4337412
Pre-training layer 1, epoch 11, cost -139.243174744
Pre-training layer 1, epoch 12, cost -138.318369904
Pre-training layer 1, epoch 13, cost -137.44325779
Pre-training layer 1, epoch 14, cost -136.622839603
Pre-training layer 1, epoch 15, cost -135.925822144
Pre-training layer 1, epoch 15, representative training free energy -34396.3327051
Pre-training layer 1, epoch 15, validation free energy -34006.5476025
Pre-training layer 1, epoch 16, cost -135.177286072
Pre-training layer 1, epoch 17, cost -134.619409084
Pre-training layer 1, epoch 18, cost -133.990881023
Pre-training layer 1, epoch 19, cost -133.599543743
Pre-training layer 1, epoch 20, cost -133.118776283
Pre-training layer 1, epoch 20, representative training free energy -35748.8286982
Pre-training layer 1, epoch 20, validation free energy -35342.6927666
Pre-training layer 1, epoch 21, cost -132.804650822
Pre-training layer 1, epoch 22, cost -132.339959755
Pre-training layer 1, epoch 23, cost -131.976073837
Pre-training layer 1, epoch 24, cost -131.499781876
Pre-training layer 1, epoch 25, cost -131.213619289
Pre-training layer 1, epoch 25, representative training free energy -36921.7990381
Pre-training layer 1, epoch 25, validation free energy -36499.0053057
Pre-training layer 1, epoch 26, cost -130.954187794
Pre-training layer 1, epoch 27, cost -130.65681942
Pre-training layer 1, epoch 28, cost -130.258955173
Pre-training layer 1, epoch 29, cost -130.083316669
Pre-training layer 1, epoch 30, cost -129.835985374
Pre-training layer 1, epoch 30, representative training free energy -37739.3374717
Pre-training layer 1, epoch 30, validation free energy -37305.4146875
Pre-training layer 1, epoch 31, cost -129.59401907
Pre-training layer 1, epoch 32, cost -129.319602184
Pre-training layer 1, epoch 33, cost -129.097685452
Pre-training layer 1, epoch 34, cost -128.842552242
Pre-training layer 1, epoch 35, cost -128.767449608
Pre-training layer 1, epoch 35, representative training free energy -38564.5271582
Pre-training layer 1, epoch 35, validation free energy -38115.8798037
Pre-training layer 1, epoch 36, cost -128.60617815
Pre-training layer 1, epoch 37, cost -128.311933708
Pre-training layer 1, epoch 38, cost -128.209255123
Pre-training layer 1, epoch 39, cost -128.036030159
Pre-training layer 1, epoch 40, cost -127.884093456
Pre-training layer 1, epoch 40, representative training free energy -39265.7160801
Pre-training layer 1, epoch 40, validation free energy -38802.706166
Pre-training layer 1, epoch 41, cost -127.68923399
Pre-training layer 1, epoch 42, cost -127.56040062
Pre-training layer 1, epoch 43, cost -127.389956646
Pre-training layer 1, epoch 44, cost -127.262639885
Pre-training layer 1, epoch 45, cost -127.033473434
Pre-training layer 1, epoch 45, representative training free energy -39849.8922012
Pre-training layer 1, epoch 45, validation free energy -39376.4769736
Pre-training layer 1, epoch 46, cost -126.980079346
Pre-training layer 1, epoch 47, cost -126.773147888
Pre-training layer 1, epoch 48, cost -126.611723957
Pre-training layer 1, epoch 49, cost -126.616609478
Pre-training layer 1, epoch 50, cost -126.390371456
Pre-training layer 1, epoch 50, representative training free energy -40416.4336572
Pre-training layer 1, epoch 50, validation free energy -39932.7054346
Pre-training layer 1, epoch 51, cost -126.290585022
Pre-training layer 1, epoch 52, cost -126.187305984
Pre-training layer 1, epoch 53, cost -126.132302513
Pre-training layer 1, epoch 54, cost -125.94529335
Pre-training layer 1, epoch 55, cost -125.915640888
Pre-training layer 1, epoch 55, representative training free energy -40871.2754307
Pre-training layer 1, epoch 55, validation free energy -40381.6221699
Pre-training layer 1, epoch 56, cost -125.726781158
Pre-training layer 1, epoch 57, cost -125.655591125
Pre-training layer 1, epoch 58, cost -125.556089001
Pre-training layer 1, epoch 59, cost -125.575572052
Pre-training layer 1, epoch 60, cost -125.318211441
Pre-training layer 1, epoch 60, representative training free energy -41287.2071592
Pre-training layer 1, epoch 60, validation free energy -40801.199165
Pre-training layer 1, epoch 61, cost -125.334681187
Pre-training layer 1, epoch 62, cost -125.195791626
Pre-training layer 1, epoch 63, cost -125.155907555
Pre-training layer 1, epoch 64, cost -125.01550108
Pre-training layer 1, epoch 65, cost -124.979829483
Pre-training layer 1, epoch 65, representative training free energy -41721.6686367
Pre-training layer 1, epoch 65, validation free energy -41228.3545693
Pre-training layer 1, epoch 66, cost -124.843421555
Pre-training layer 1, epoch 67, cost -124.821412029
Pre-training layer 1, epoch 68, cost -124.683212738
Pre-training layer 1, epoch 69, cost -124.619496555
Pre-training layer 1, epoch 70, cost -124.615926208
Pre-training layer 1, epoch 70, representative training free energy -42168.5181582
Pre-training layer 1, epoch 70, validation free energy -41659.5837607
Pre-training layer 1, epoch 71, cost -124.53107729
Pre-training layer 1, epoch 72, cost -124.374957161
Pre-training layer 1, epoch 73, cost -124.392114353
Pre-training layer 1, epoch 74, cost -124.270496807
Pre-training layer 1, epoch 75, cost -124.13737339
Pre-training layer 1, epoch 75, representative training free energy -42440.8681152
Pre-training layer 1, epoch 75, validation free energy -41944.4965996
Pre-training layer 1, epoch 76, cost -124.212025051
Pre-training layer 1, epoch 77, cost -124.084677143
Pre-training layer 1, epoch 78, cost -124.085735397
Pre-training layer 1, epoch 79, cost -123.89979351
Pre-training layer 1, epoch 80, cost -123.84036499
Pre-training layer 1, epoch 80, representative training free energy -42757.9574863
Pre-training layer 1, epoch 80, validation free energy -42252.6515479
Pre-training layer 1, epoch 81, cost -123.847155762
Pre-training layer 1, epoch 82, cost -123.868694859
Pre-training layer 1, epoch 83, cost -123.789922848
Pre-training layer 1, epoch 84, cost -123.661603069
Pre-training layer 1, epoch 85, cost -123.540124264
Pre-training layer 1, epoch 85, representative training free energy -43114.1140957
Pre-training layer 1, epoch 85, validation free energy -42590.5597891
Pre-training layer 1, epoch 86, cost -123.649882202
Pre-training layer 1, epoch 87, cost -123.491528873
Pre-training layer 1, epoch 88, cost -123.472171402
Pre-training layer 1, epoch 89, cost -123.422574329
Pre-training layer 1, epoch 90, cost -123.343835373
Pre-training layer 1, epoch 90, representative training free energy -43376.4814512
Pre-training layer 1, epoch 90, validation free energy -42857.1670713
Pre-training layer 1, epoch 91, cost -123.298811035
Pre-training layer 1, epoch 92, cost -123.242079964
Pre-training layer 1, epoch 93, cost -123.204122524
Pre-training layer 1, epoch 94, cost -123.188753529
Pre-training layer 1, epoch 95, cost -123.128160019
Pre-training layer 1, epoch 95, representative training free energy -43738.7102246
Pre-training layer 1, epoch 95, validation free energy -43210.6177139
Pre-training layer 1, epoch 96, cost -123.02175106
Pre-training layer 1, epoch 97, cost -122.958885365
Pre-training layer 1, epoch 98, cost -122.982995987
Pre-training layer 1, epoch 99, cost -122.90446434
Pre-training layer 2, epoch 0, cost -84.4934909916
Pre-training layer 2, epoch 0, representative training free energy -45937.2933857
Pre-training layer 2, epoch 0, validation free energy -44680.6328047
Pre-training layer 2, epoch 1, cost -69.561180172
Pre-training layer 2, epoch 2, cost -65.4429231358
Pre-training layer 2, epoch 3, cost -62.8693041801
Pre-training layer 2, epoch 4, cost -61.1705122471
Pre-training layer 2, epoch 5, cost -59.9034595585
Pre-training layer 2, epoch 5, representative training free energy -37518.208916
Pre-training layer 2, epoch 5, validation free energy -37274.5884082
Pre-training layer 2, epoch 6, cost -58.6048730278
Pre-training layer 2, epoch 7, cost -57.7513977528
Pre-training layer 2, epoch 8, cost -57.0492727375
Pre-training layer 2, epoch 9, cost -56.2801292324
Pre-training layer 2, epoch 10, cost -55.6432227516
Pre-training layer 2, epoch 10, representative training free energy -30659.937165
Pre-training layer 2, epoch 10, validation free energy -30736.4921504
Pre-training layer 2, epoch 11, cost -55.0366083241
Pre-training layer 2, epoch 12, cost -54.6958229542
Pre-training layer 2, epoch 13, cost -54.2696290112
Pre-training layer 2, epoch 14, cost -53.8580760098
Pre-training layer 2, epoch 15, cost -53.506262455
Pre-training layer 2, epoch 15, representative training free energy -26399.6947856
Pre-training layer 2, epoch 15, validation free energy -26665.6846367
Pre-training layer 2, epoch 16, cost -53.234193058
Pre-training layer 2, epoch 17, cost -52.9094113445
Pre-training layer 2, epoch 18, cost -52.5369023609
Pre-training layer 2, epoch 19, cost -52.4278871918
Pre-training layer 2, epoch 20, cost -52.200445652
Pre-training layer 2, epoch 20, representative training free energy -24084.0738579
Pre-training layer 2, epoch 20, validation free energy -24493.6454531
Pre-training layer 2, epoch 21, cost -52.0243214607
Pre-training layer 2, epoch 22, cost -51.7936634731
Pre-training layer 2, epoch 23, cost -51.5749281502
Pre-training layer 2, epoch 24, cost -51.4399580574
Pre-training layer 2, epoch 25, cost -51.2821263409
Pre-training layer 2, epoch 25, representative training free energy -22292.9266836
Pre-training layer 2, epoch 25, validation free energy -22840.470083
Pre-training layer 2, epoch 26, cost -51.1475183868
Pre-training layer 2, epoch 27, cost -50.9194096565
Pre-training layer 2, epoch 28, cost -50.9201564026
Pre-training layer 2, epoch 29, cost -50.7870576477
Pre-training layer 2, epoch 30, cost -50.749533186
Pre-training layer 2, epoch 30, representative training free energy -19525.8226084
Pre-training layer 2, epoch 30, validation free energy -20079.3430981
Pre-training layer 2, epoch 31, cost -50.5668022251
Pre-training layer 2, epoch 32, cost -50.4075154114
Pre-training layer 2, epoch 33, cost -50.3741051102
Pre-training layer 2, epoch 34, cost -50.2897853661
Pre-training layer 2, epoch 35, cost -50.1689757156
Pre-training layer 2, epoch 35, representative training free energy -18264.9690122
Pre-training layer 2, epoch 35, validation free energy -18914.4253291
Pre-training layer 2, epoch 36, cost -50.0142944145
Pre-training layer 2, epoch 37, cost -50.0094616699
Pre-training layer 2, epoch 38, cost -49.9563630295
Pre-training layer 2, epoch 39, cost -49.7622816563
Pre-training layer 2, epoch 40, cost -49.7295682144
Pre-training layer 2, epoch 40, representative training free energy -16893.960637
Pre-training layer 2, epoch 40, validation free energy -17556.275707
Pre-training layer 2, epoch 41, cost -49.6115279961
Pre-training layer 2, epoch 42, cost -49.6279873753
Pre-training layer 2, epoch 43, cost -49.5249294472
Pre-training layer 2, epoch 44, cost -49.5179006863
Pre-training layer 2, epoch 45, cost -49.3666603661
Pre-training layer 2, epoch 45, representative training free energy -15436.499447
Pre-training layer 2, epoch 45, validation free energy -16105.253873
Pre-training layer 2, epoch 46, cost -49.2563342762
Pre-training layer 2, epoch 47, cost -49.4011424828
Pre-training layer 2, epoch 48, cost -49.2669913578
Pre-training layer 2, epoch 49, cost -49.1866377258
Pre-training layer 2, epoch 50, cost -49.2287535286
Pre-training layer 2, epoch 50, representative training free energy -14616.585583
Pre-training layer 2, epoch 50, validation free energy -15236.2094448
Pre-training layer 2, epoch 51, cost -49.0740275288
Pre-training layer 2, epoch 52, cost -48.9418375826
Pre-training layer 2, epoch 53, cost -48.9497524118
Pre-training layer 2, epoch 54, cost -49.0325853539
Pre-training layer 2, epoch 55, cost -48.8550748348
Pre-training layer 2, epoch 55, representative training free energy -13083.4598628
Pre-training layer 2, epoch 55, validation free energy -13711.2354995
Pre-training layer 2, epoch 56, cost -48.8321409559
Pre-training layer 2, epoch 57, cost -48.7669631577
Pre-training layer 2, epoch 58, cost -48.7184193516
Pre-training layer 2, epoch 59, cost -48.7366873646
Pre-training layer 2, epoch 60, cost -48.7236889458
Pre-training layer 2, epoch 60, representative training free energy -12407.9750735
Pre-training layer 2, epoch 60, validation free energy -13049.873541
Pre-training layer 2, epoch 61, cost -48.5589331722
Pre-training layer 2, epoch 62, cost -48.6223850965
Pre-training layer 2, epoch 63, cost -48.5717850208
Pre-training layer 2, epoch 64, cost -48.4905390596
Pre-training layer 2, epoch 65, cost -48.4799149132
Pre-training layer 2, epoch 65, representative training free energy -11566.3918103
Pre-training layer 2, epoch 65, validation free energy -12242.0959138
Pre-training layer 2, epoch 66, cost -48.3985753918
Pre-training layer 2, epoch 67, cost -48.3080285358
Pre-training layer 2, epoch 68, cost -48.3973600101
Pre-training layer 2, epoch 69, cost -48.3705799866
Pre-training layer 2, epoch 70, cost -48.3656924629
Pre-training layer 2, epoch 70, representative training free energy -10784.4125313
Pre-training layer 2, epoch 70, validation free energy -11394.0878445
Pre-training layer 2, epoch 71, cost -48.3043868446
Pre-training layer 2, epoch 72, cost -48.1981342936
Pre-training layer 2, epoch 73, cost -48.1378249359
Pre-training layer 2, epoch 74, cost -48.1545451736
Pre-training layer 2, epoch 75, cost -48.1376501322
Pre-training layer 2, epoch 75, representative training free energy -9638.07743994
Pre-training layer 2, epoch 75, validation free energy -10246.9320667
Pre-training layer 2, epoch 76, cost -48.1093621206
Pre-training layer 2, epoch 77, cost -48.1510095167
Pre-training layer 2, epoch 78, cost -48.0108055115
Pre-training layer 2, epoch 79, cost -48.0339308023
Pre-training layer 2, epoch 80, cost -47.884974699
Pre-training layer 2, epoch 80, representative training free energy -9072.8704751
Pre-training layer 2, epoch 80, validation free energy -9668.07921265
Pre-training layer 2, epoch 81, cost -47.9071896458
Pre-training layer 2, epoch 82, cost -47.9216930294
Pre-training layer 2, epoch 83, cost -47.8461621141
Pre-training layer 2, epoch 84, cost -47.8728126144
Pre-training layer 2, epoch 85, cost -47.8280950785
Pre-training layer 2, epoch 85, representative training free energy -8641.89660303
Pre-training layer 2, epoch 85, validation free energy -9176.37784302
Pre-training layer 2, epoch 86, cost -47.8351477432
Pre-training layer 2, epoch 87, cost -47.7858503628
Pre-training layer 2, epoch 88, cost -47.7746471405
Pre-training layer 2, epoch 89, cost -47.7144749641
Pre-training layer 2, epoch 90, cost -47.7096318579
Pre-training layer 2, epoch 90, representative training free energy -7932.3397583
Pre-training layer 2, epoch 90, validation free energy -8454.30484607
Pre-training layer 2, epoch 91, cost -47.5948056126
Pre-training layer 2, epoch 92, cost -47.7669964504
Pre-training layer 2, epoch 93, cost -47.6350692081
Pre-training layer 2, epoch 94, cost -47.6089401245
Pre-training layer 2, epoch 95, cost -47.6283068848
Pre-training layer 2, epoch 95, representative training free energy -6967.27853174
Pre-training layer 2, epoch 95, validation free energy -7424.98422058
Pre-training layer 2, epoch 96, cost -47.56954494
Pre-training layer 2, epoch 97, cost -47.6303768682
Pre-training layer 2, epoch 98, cost -47.5158756113
Pre-training layer 2, epoch 99, cost -47.5693488216
The pretraining code for file dbn_loop.pyc ran for 2.38m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 400/400, validation error 9.600000 %
     epoch 1, minibatch 400/400, test error of best model 9.400000 %
epoch 2, minibatch 400/400, validation error 8.000000 %
     epoch 2, minibatch 400/400, test error of best model 8.100000 %
epoch 3, minibatch 400/400, validation error 7.500000 %
     epoch 3, minibatch 400/400, test error of best model 7.200000 %
epoch 4, minibatch 400/400, validation error 7.600000 %
epoch 5, minibatch 400/400, validation error 7.500000 %
Optimization complete with best validation score of 7.500000 %, obtained at iteration 1200, with test performance 7.200000 %
The fine tuning code for file dbn_loop.pyc ran for 0.07m
_______RUN: 1

==========Hidden Layer: [500, 500, 2000] ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -161.601674423
Pre-training layer 0, epoch 0, representative training free energy -290.182285828
Pre-training layer 0, epoch 0, validation free energy -289.157127045
Pre-training layer 0, epoch 1, cost -121.338076591
Pre-training layer 0, epoch 2, cost -111.798851166
Pre-training layer 0, epoch 3, cost -106.014459686
Pre-training layer 0, epoch 4, cost -102.244282303
Pre-training layer 0, epoch 5, cost -99.3689579964
Pre-training layer 0, epoch 5, representative training free energy -306.139154465
Pre-training layer 0, epoch 5, validation free energy -302.033608292
Pre-training layer 0, epoch 6, cost -96.9492546082
Pre-training layer 0, epoch 7, cost -95.1439246368
Pre-training layer 0, epoch 8, cost -93.4408899689
Pre-training layer 0, epoch 9, cost -92.2841683388
Pre-training layer 0, epoch 10, cost -91.1118905449
Pre-training layer 0, epoch 10, representative training free energy -310.331456543
Pre-training layer 0, epoch 10, validation free energy -305.840396545
Pre-training layer 0, epoch 11, cost -90.053216629
Pre-training layer 0, epoch 12, cost -89.1738842583
Pre-training layer 0, epoch 13, cost -88.4495864201
Pre-training layer 0, epoch 14, cost -87.5124967575
Pre-training layer 0, epoch 15, cost -87.0613518238
Pre-training layer 0, epoch 15, representative training free energy -320.651333984
Pre-training layer 0, epoch 15, validation free energy -315.751702637
Pre-training layer 0, epoch 16, cost -86.2869843864
Pre-training layer 0, epoch 17, cost -85.8043452549
Pre-training layer 0, epoch 18, cost -85.2958911991
Pre-training layer 0, epoch 19, cost -84.7734015465
Pre-training layer 0, epoch 20, cost -84.2933679295
Pre-training layer 0, epoch 20, representative training free energy -324.473888657
Pre-training layer 0, epoch 20, validation free energy -319.203660629
Pre-training layer 0, epoch 21, cost -83.7818231773
Pre-training layer 0, epoch 22, cost -83.4346267033
Pre-training layer 0, epoch 23, cost -83.0132169151
Pre-training layer 0, epoch 24, cost -82.5360397625
Pre-training layer 0, epoch 25, cost -82.1773523426
Pre-training layer 0, epoch 25, representative training free energy -331.507257553
Pre-training layer 0, epoch 25, validation free energy -324.671480927
Pre-training layer 0, epoch 26, cost -82.0359974957
Pre-training layer 0, epoch 27, cost -81.7527784824
Pre-training layer 0, epoch 28, cost -81.3566603374
Pre-training layer 0, epoch 29, cost -81.1971267986
Pre-training layer 0, epoch 30, cost -80.9559041786
Pre-training layer 0, epoch 30, representative training free energy -335.829984482
Pre-training layer 0, epoch 30, validation free energy -329.523787155
Pre-training layer 0, epoch 31, cost -80.5977092075
Pre-training layer 0, epoch 32, cost -80.3061592484
Pre-training layer 0, epoch 33, cost -80.005095644
Pre-training layer 0, epoch 34, cost -79.9003933239
Pre-training layer 0, epoch 35, cost -79.6145267677
Pre-training layer 0, epoch 35, representative training free energy -341.67561998
Pre-training layer 0, epoch 35, validation free energy -334.908781006
Pre-training layer 0, epoch 36, cost -79.4458659077
Pre-training layer 0, epoch 37, cost -79.3117244434
Pre-training layer 0, epoch 38, cost -79.0850709343
Pre-training layer 0, epoch 39, cost -78.9024580956
Pre-training layer 0, epoch 40, cost -78.6840495491
Pre-training layer 0, epoch 40, representative training free energy -344.38828302
Pre-training layer 0, epoch 40, validation free energy -337.035700027
Pre-training layer 0, epoch 41, cost -78.5471032429
Pre-training layer 0, epoch 42, cost -78.3320995235
Pre-training layer 0, epoch 43, cost -78.2871170521
Pre-training layer 0, epoch 44, cost -78.1383980465
Pre-training layer 0, epoch 45, cost -77.9288521194
Pre-training layer 0, epoch 45, representative training free energy -349.727669312
Pre-training layer 0, epoch 45, validation free energy -342.499689499
Pre-training layer 0, epoch 46, cost -77.6590801716
Pre-training layer 0, epoch 47, cost -77.614881382
Pre-training layer 0, epoch 48, cost -77.3581301498
Pre-training layer 0, epoch 49, cost -77.2465527439
Pre-training layer 0, epoch 50, cost -77.2329730701
Pre-training layer 0, epoch 50, representative training free energy -355.429829254
Pre-training layer 0, epoch 50, validation free energy -347.921781723
Pre-training layer 0, epoch 51, cost -77.0439513683
Pre-training layer 0, epoch 52, cost -76.8740822697
Pre-training layer 0, epoch 53, cost -76.7811267662
Pre-training layer 0, epoch 54, cost -76.8064448833
Pre-training layer 0, epoch 55, cost -76.76954669
Pre-training layer 0, epoch 55, representative training free energy -353.541791504
Pre-training layer 0, epoch 55, validation free energy -345.414090469
Pre-training layer 0, epoch 56, cost -76.485754261
Pre-training layer 0, epoch 57, cost -76.3100464153
Pre-training layer 0, epoch 58, cost -76.2521873569
Pre-training layer 0, epoch 59, cost -76.156001873
Pre-training layer 0, epoch 60, cost -76.1230819893
Pre-training layer 0, epoch 60, representative training free energy -357.839526581
Pre-training layer 0, epoch 60, validation free energy -349.971063538
Pre-training layer 0, epoch 61, cost -75.8556430149
